source_name,source_lat,source_lng,dest_name,dest_lat,dest_lng,pickup_time,hour,day_of_week,month,ride_type,num_riders,distance_km,duration_minutes,is_weekend,is_rush_hour
Connaught Place,28.6315,77.2167,DTU,28.7495,77.1184,2023-04-17 07:33:00,7,0,4,private,1,16.25,33.5,0,0
KIET Group of Institutions,28.753,77.4973,Galgotias University,28.4507,77.4908,2023-07-24 10:30:00,10,0,7,private,1,33.62,85.6,0,0
ITS Engineering College,28.6763,77.3823,Lotus Temple,28.5535,77.2588,2023-06-22 19:50:00,19,3,6,private,1,18.21,72.8,0,1
Noida International University,28.3965,77.5007,ABES Engineering College,28.6324,77.449,2023-01-26 03:51:00,3,3,1,shared,3,26.71,66.2,0,0
Greater Kailash,28.5562,77.2249,Shiv Nadar University,28.5266,77.5757,2023-07-21 20:14:00,20,4,7,private,1,34.42,78.9,0,0
KIET Group of Institutions,28.753,77.4973,Delhi University,28.6891,77.2087,2023-11-26 15:21:00,15,6,11,shared,3,29.03,91.5,1,0
Jaypee Institute,28.5244,77.3656,Delhi University,28.6891,77.2087,2023-02-12 08:42:00,8,6,2,private,1,23.87,49.9,1,1
Red Fort,28.6562,77.241,Cyber Hub,28.4946,77.0893,2023-06-13 21:26:00,21,1,6,private,1,23.29,60.0,0,0
IMS Ghaziabad,28.67,77.4382,Amity University,28.5445,77.3325,2023-11-13 11:31:00,11,0,11,private,1,17.36,47.5,0,0
DLF Mall of India,28.5671,77.3263,Red Fort,28.6562,77.241,2023-09-07 09:31:00,9,3,9,private,1,12.94,46.9,0,1
Hindu College of Engineering,28.6764,77.5043,Select Citywalk,28.5289,77.2195,2023-10-05 14:47:00,14,3,10,private,1,32.28,79.5,0,0
Red Fort,28.6562,77.241,Cyber Hub,28.4946,77.0893,2023-01-27 01:40:00,1,4,1,private,1,23.29,51.2,0,0
Lotus Temple,28.5535,77.2588,Cyber Hub,28.4946,77.0893,2023-06-13 20:06:00,20,1,6,private,1,17.81,43.9,0,0
Select Citywalk,28.5289,77.2195,ITS Engineering College,28.6763,77.3823,2023-04-01 23:20:00,23,5,4,shared,2,22.83,60.7,1,0
Hindu College of Engineering,28.6764,77.5043,Red Fort,28.6562,77.241,2023-11-21 21:37:00,21,1,11,shared,3,25.79,77.0,0,0
KIET Group of Institutions,28.753,77.4973,Qutub Minar,28.5245,77.1855,2023-11-28 10:59:00,10,1,11,private,1,39.64,105.5,0,0
Greater Kailash,28.5562,77.2249,Hindu College of Engineering,28.6764,77.5043,2023-05-10 05:41:00,5,2,5,private,1,30.37,63.7,0,0
Qutub Minar,28.5245,77.1855,DLF Mall of India,28.5671,77.3263,2023-06-28 15:08:00,15,2,6,private,1,14.55,43.2,0,0
DTU,28.7495,77.1184,Select Citywalk,28.5289,77.2195,2023-05-23 19:01:00,19,1,5,shared,2,26.44,145.6,0,1
Shiv Nadar University,28.5266,77.5757,Cyber Hub,28.4946,77.0893,2023-07-27 21:05:00,21,3,7,shared,1,47.66,145.8,0,0
Select Citywalk,28.5289,77.2195,Qutub Minar,28.5245,77.1855,2023-02-10 07:32:00,7,4,2,shared,3,3.36,18.7,0,0
KIET Group of Institutions,28.753,77.4973,ITS Engineering College,28.6763,77.3823,2023-04-03 00:35:00,0,0,4,shared,3,14.09,37.8,0,0
NSIT,28.6091,77.0378,Amity University,28.5445,77.3325,2023-03-09 18:21:00,18,3,3,shared,4,29.66,143.6,0,1
India Gate,28.6129,77.2295,Select Citywalk,28.5289,77.2195,2023-08-21 07:58:00,7,0,8,private,1,9.39,25.8,0,0
IMS Ghaziabad,28.67,77.4382,Jaypee Institute,28.5244,77.3656,2023-08-06 14:04:00,14,6,8,private,1,17.67,45.7,1,0
Connaught Place,28.6315,77.2167,Greater Kailash,28.5562,77.2249,2023-11-24 10:43:00,10,4,11,private,1,8.41,31.8,0,0
Jaypee Institute,28.5244,77.3656,Delhi University,28.6891,77.2087,2023-11-13 02:42:00,2,0,11,shared,3,23.87,50.1,0,0
Amity University,28.5445,77.3325,IMS Ghaziabad,28.67,77.4382,2023-02-19 05:12:00,5,6,2,shared,4,17.36,46.0,1,0
DLF Mall of India,28.5671,77.3263,NSIT,28.6091,77.0378,2023-08-10 16:08:00,16,3,8,private,1,28.55,77.3,0,0
India Gate,28.6129,77.2295,Akshardham Temple,28.6127,77.2773,2023-10-07 14:17:00,14,5,10,private,1,4.67,21.1,1,0
Select Citywalk,28.5289,77.2195,Akshardham Temple,28.6127,77.2773,2023-03-05 15:29:00,15,6,3,private,1,10.89,31.2,1,0
JNU,28.5399,77.1674,ABES Engineering College,28.6324,77.449,2023-05-06 02:13:00,2,5,5,private,1,29.36,60.6,1,0
Hindu College of Engineering,28.6764,77.5043,Connaught Place,28.6315,77.2167,2023-06-05 17:43:00,17,0,6,shared,4,28.5,147.7,0,1
Hindu College of Engineering,28.6764,77.5043,JNU,28.5399,77.1674,2023-05-29 17:06:00,17,0,5,private,1,36.22,135.5,0,1
Akshardham Temple,28.6127,77.2773,Hindu College of Engineering,28.6764,77.5043,2023-02-13 07:43:00,7,0,2,private,1,23.26,47.4,0,0
IMS Ghaziabad,28.67,77.4382,Lotus Temple,28.5535,77.2588,2023-10-16 04:35:00,4,0,10,shared,4,21.78,57.6,0,0
DLF Mall of India,28.5671,77.3263,Akshardham Temple,28.6127,77.2773,2023-10-24 10:36:00,10,1,10,private,1,6.97,28.7,0,0
Connaught Place,28.6315,77.2167,Akshardham Temple,28.6127,77.2773,2023-11-13 20:27:00,20,0,11,private,1,6.27,23.9,0,0
India Gate,28.6129,77.2295,Lotus Temple,28.5535,77.2588,2023-02-08 19:16:00,19,2,2,private,1,7.2,38.1,0,1
Noida International University,28.3965,77.5007,Delhi University,28.6891,77.2087,2023-07-12 07:19:00,7,2,7,shared,1,43.27,113.1,0,0
KIET Group of Institutions,28.753,77.4973,Shiv Nadar University,28.5266,77.5757,2023-09-12 17:34:00,17,1,9,private,1,26.31,105.0,0,1
IMS Ghaziabad,28.67,77.4382,Hindu College of Engineering,28.6764,77.5043,2023-09-26 11:54:00,11,1,9,private,1,6.49,25.8,0,0
Akshardham Temple,28.6127,77.2773,DLF Mall of India,28.5671,77.3263,2023-04-27 04:26:00,4,3,4,private,1,6.97,21.7,0,0
Red Fort,28.6562,77.241,ABES Engineering College,28.6324,77.449,2023-02-28 12:20:00,12,1,2,shared,1,20.47,58.3,0,0
Select Citywalk,28.5289,77.2195,JNU,28.5399,77.1674,2023-02-18 00:30:00,0,5,2,private,1,5.23,17.7,1,0
Qutub Minar,28.5245,77.1855,JNU,28.5399,77.1674,2023-01-29 09:26:00,9,6,1,shared,1,2.46,13.6,1,1
Akshardham Temple,28.6127,77.2773,KIET Group of Institutions,28.753,77.4973,2023-11-22 22:14:00,22,2,11,private,1,26.53,56.1,0,0
ABES Engineering College,28.6324,77.449,DLF Mall of India,28.5671,77.3263,2023-06-01 21:06:00,21,3,6,shared,2,14.01,47.5,0,0
Akshardham Temple,28.6127,77.2773,Greater Kailash,28.5562,77.2249,2023-07-27 21:32:00,21,3,7,private,1,8.1,30.8,0,0
India Gate,28.6129,77.2295,NSIT,28.6091,77.0378,2023-07-25 11:21:00,11,1,7,private,1,18.72,49.7,0,0
Jaypee Institute,28.5244,77.3656,Lotus Temple,28.5535,77.2588,2023-04-23 23:33:00,23,6,4,private,1,10.92,23.3,1,0
KIET Group of Institutions,28.753,77.4973,Cyber Hub,28.4946,77.0893,2023-07-16 20:24:00,20,6,7,shared,3,49.11,125.6,1,0
Galgotias University,28.4507,77.4908,JNU,28.5399,77.1674,2023-02-02 14:22:00,14,3,2,private,1,33.12,83.1,0,0
KIET Group of Institutions,28.753,77.4973,Red Fort,28.6562,77.241,2023-08-31 03:41:00,3,3,8,private,1,27.22,56.6,0,0
India Gate,28.6129,77.2295,Select Citywalk,28.5289,77.2195,2023-05-27 16:09:00,16,5,5,shared,2,9.39,38.4,1,0
Select Citywalk,28.5289,77.2195,Akshardham Temple,28.6127,77.2773,2023-07-07 20:14:00,20,4,7,private,1,10.89,29.7,0,0
ABES Engineering College,28.6324,77.449,Select Citywalk,28.5289,77.2195,2023-07-25 22:30:00,22,1,7,private,1,25.19,55.7,0,0
Shiv Nadar University,28.5266,77.5757,Jaypee Institute,28.5244,77.3656,2023-06-24 04:12:00,4,5,6,shared,4,20.53,58.6,1,0
ABES Engineering College,28.6324,77.449,Hindu College of Engineering,28.6764,77.5043,2023-08-07 19:14:00,19,0,8,private,1,7.28,39.7,0,1
Amity University,28.5445,77.3325,Qutub Minar,28.5245,77.1855,2023-06-11 03:59:00,3,6,6,private,1,14.53,29.0,1,0
DTU,28.7495,77.1184,Select Citywalk,28.5289,77.2195,2023-06-04 18:27:00,18,6,6,private,1,26.44,110.2,1,1
Hindu College of Engineering,28.6764,77.5043,Select Citywalk,28.5289,77.2195,2023-08-08 09:11:00,9,1,8,shared,4,32.28,110.2,0,1
Cyber Hub,28.4946,77.0893,DTU,28.7495,77.1184,2023-10-02 06:19:00,6,0,10,shared,3,28.49,76.6,0,0
India Gate,28.6129,77.2295,Hindu College of Engineering,28.6764,77.5043,2023-04-13 18:28:00,18,3,4,private,1,27.73,113.1,0,1
KIET Group of Institutions,28.753,77.4973,India Gate,28.6129,77.2295,2023-01-02 14:07:00,14,0,1,private,1,30.42,81.0,0,0
Akshardham Temple,28.6127,77.2773,Connaught Place,28.6315,77.2167,2023-11-02 07:46:00,7,3,11,private,1,6.27,18.5,0,0
Amity University,28.5445,77.3325,India Gate,28.6129,77.2295,2023-09-16 03:34:00,3,5,9,shared,1,12.61,37.0,1,0
ABES Engineering College,28.6324,77.449,IMS Ghaziabad,28.67,77.4382,2023-08-30 09:26:00,9,2,8,shared,4,4.31,35.0,0,1
Red Fort,28.6562,77.241,JNU,28.5399,77.1674,2023-01-21 13:28:00,13,5,1,shared,4,14.79,46.7,1,0
Connaught Place,28.6315,77.2167,Noida International University,28.3965,77.5007,2023-09-28 08:23:00,8,3,9,shared,3,38.12,196.9,0,1
Select Citywalk,28.5289,77.2195,Greater Kailash,28.5562,77.2249,2023-04-27 03:05:00,3,3,4,private,1,3.08,12.5,0,0
IMS Ghaziabad,28.67,77.4382,Delhi University,28.6891,77.2087,2023-07-24 07:05:00,7,0,7,shared,3,22.49,47.3,0,0
JNU,28.5399,77.1674,India Gate,28.6129,77.2295,2023-06-24 12:02:00,12,5,6,shared,4,10.13,42.7,1,0
Galgotias University,28.4507,77.4908,Jaypee Institute,28.5244,77.3656,2023-12-27 20:42:00,20,2,12,private,1,14.73,41.9,0,0
Amity University,28.5445,77.3325,Shiv Nadar University,28.5266,77.5757,2023-03-21 02:02:00,2,1,3,private,1,23.84,47.7,0,0
Akshardham Temple,28.6127,77.2773,Cyber Hub,28.4946,77.0893,2023-11-19 18:20:00,18,6,11,private,1,22.57,65.7,1,1
Qutub Minar,28.5245,77.1855,Jaypee Institute,28.5244,77.3656,2023-07-09 14:06:00,14,6,7,private,1,17.6,55.1,1,0
Noida International University,28.3965,77.5007,Red Fort,28.6562,77.241,2023-06-04 18:50:00,18,6,6,private,1,38.44,117.9,1,1
ABES Engineering College,28.6324,77.449,DLF Mall of India,28.5671,77.3263,2023-10-19 23:43:00,23,3,10,private,1,14.01,37.7,0,0
Hindu College of Engineering,28.6764,77.5043,Qutub Minar,28.5245,77.1855,2023-09-20 22:33:00,22,2,9,shared,2,35.41,95.6,0,0
Qutub Minar,28.5245,77.1855,Hindu College of Engineering,28.6764,77.5043,2023-10-11 10:03:00,10,2,10,shared,2,35.41,112.8,0,0
ABES Engineering College,28.6324,77.449,Qutub Minar,28.5245,77.1855,2023-10-21 02:36:00,2,5,10,shared,1,28.39,75.5,1,0
Delhi University,28.6891,77.2087,KIET Group of Institutions,28.753,77.4973,2023-05-16 23:23:00,23,1,5,private,1,29.03,59.1,0,0
Hindu College of Engineering,28.6764,77.5043,Akshardham Temple,28.6127,77.2773,2023-04-28 10:06:00,10,4,4,shared,1,23.26,66.3,0,0
Lotus Temple,28.5535,77.2588,Greater Kailash,28.5562,77.2249,2023-06-17 16:10:00,16,5,6,private,1,3.32,25.5,1,0
ITS Engineering College,28.6763,77.3823,Select Citywalk,28.5289,77.2195,2023-04-23 00:05:00,0,6,4,private,1,22.83,50.0,1,0
Connaught Place,28.6315,77.2167,Qutub Minar,28.5245,77.1855,2023-06-09 18:51:00,18,4,6,shared,2,12.28,61.8,0,1
Akshardham Temple,28.6127,77.2773,NSIT,28.6091,77.0378,2023-06-16 07:51:00,7,4,6,shared,1,23.38,58.2,0,0
KIET Group of Institutions,28.753,77.4973,Hindu College of Engineering,28.6764,77.5043,2023-10-11 17:39:00,17,2,10,private,1,8.54,42.3,0,1
Jaypee Institute,28.5244,77.3656,ITS Engineering College,28.6763,77.3823,2023-04-01 01:12:00,1,5,4,private,1,16.97,36.0,1,0
KIET Group of Institutions,28.753,77.4973,Shiv Nadar University,28.5266,77.5757,2023-11-11 06:29:00,6,5,11,private,1,26.31,50.8,1,0
ABES Engineering College,28.6324,77.449,Galgotias University,28.4507,77.4908,2023-09-11 17:29:00,17,0,9,private,1,20.61,85.9,0,1
Hindu College of Engineering,28.6764,77.5043,IIT Delhi,28.5456,77.1924,2023-03-12 16:36:00,16,6,3,shared,3,33.74,132.3,1,0
India Gate,28.6129,77.2295,Jaypee Institute,28.5244,77.3656,2023-08-20 02:18:00,2,6,8,shared,4,16.54,45.6,1,0
Shiv Nadar University,28.5266,77.5757,Connaught Place,28.6315,77.2167,2023-10-02 15:16:00,15,0,10,private,1,36.94,96.9,0,0
Noida International University,28.3965,77.5007,Shiv Nadar University,28.5266,77.5757,2023-03-25 16:44:00,16,5,3,private,1,16.22,51.3,1,0
IIT Delhi,28.5456,77.1924,NSIT,28.6091,77.0378,2023-11-13 21:52:00,21,0,11,private,1,16.67,38.4,0,0
